page,section,title_excerpt,status,workaround
308,7 Global Internet User Ramps Powered by AI from Get-Go = Wow!,Physical World AI – Intelligent Grazing (Halter) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
309,7 Global Internet User Ramps Powered by AI from Get-Go = Wow!,Outline,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
310,7 Global Internet User Ramps Powered by AI from Get-Go = Wow!,"Thanks to the rise in low-cost satellite-driven Internet connectivity / access,",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
311,7 Global Internet User Ramps Powered by AI from Get-Go = Wow!,Global Internet Users =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
312,7 Global Internet User Ramps Powered by AI from Get-Go = Wow!,Global Internet Penetration =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
313,7 Global Internet User Ramps Powered by AI from Get-Go = Wow!,Global Internet Penetration by Region @ +70% =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
314,7 Global Internet User Ramps Powered by AI from Get-Go = Wow!,Global Internet Penetration by Population Density =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
315,7 Global Internet User Ramps Powered by AI from Get-Go = Wow!,Global Internet Users @ 5.5B =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
316,7 Global Internet User Ramps Powered by AI from Get-Go = Wow!,ChatGPT Mobile App @ 530MM MAUs in Twenty-Three Months =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
317,7 Global Internet User Ramps Powered by AI from Get-Go = Wow!,ChatGPT Mobile App – Top User Countries =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
318,7 Global Internet User Ramps Powered by AI from Get-Go = Wow!,DeepSeek Mobile App @ 54MM MAUs in Four Months =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
319,7 Global Internet User Ramps Powered by AI from Get-Go = Wow!,New Internet User Growth =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
320,7 Global Internet User Ramps Powered by AI from Get-Go = Wow!,"Orbital / Satellite Launch Market Share, Global =",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
321,7 Global Internet User Ramps Powered by AI from Get-Go = Wow!,SpaceX Starlink @ 5MM+ Subscribers =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
322,7 Global Internet User Ramps Powered by AI from Get-Go = Wow!,SpaceX Starlink Ecosystem =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
323,8 AI & Work Evolution = Real + Rapid,Starlink =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
324,8 AI & Work Evolution = Real + Rapid,Outline,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
325,8 AI & Work Evolution = Real + Rapid,"AI is foundationally changing the way we work. Alongside growth in physical automation (think adoption of robots and drones),",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
326,8 AI & Work Evolution = Real + Rapid,AI Impact on Business =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
327,8 AI & Work Evolution = Real + Rapid,AI In Workforce – Shopify =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
328,8 AI & Work Evolution = Real + Rapid,…AI In Workforce – Duolingo =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
329,8 AI & Work Evolution = Real + Rapid,AI Adoption @ USA Firms =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
330,8 AI & Work Evolution = Real + Rapid,…AI Adoption @ USA Firms =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
331,8 AI & Work Evolution = Real + Rapid,AI Impact on Workforce =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
332,8 AI & Work Evolution = Real + Rapid,AI Impact on Workforce =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
333,8 AI & Work Evolution = Real + Rapid,Employment Evolution – 1/18-4/25 =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
334,8 AI & Work Evolution = Real + Rapid,Employment Evolution – Q2:22-Q2:24 =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
335,8 AI & Work Evolution = Real + Rapid,Employment Evolution – Apple =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
336,8 AI & Work Evolution = Real + Rapid,USA Labor Productivity =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
337,8 AI & Work Evolution = Real + Rapid,AI In Workforce – NVIDIA =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
338,8 AI & Work Evolution = Real + Rapid,Summary…,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
339,8 AI & Work Evolution = Real + Rapid,…Summary,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
340,Front Matter / Appendix,BOND is a global technology investment firm that supports visionary founders throughout their entire life cycle of innovation,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
