Address,Street,City,Postal Code,Country,gpt_flag,gpt_flag_reason,internal_flag,internal_flag_details,unmapped_components,confidence,raw_input_for_model
"Unit 38/535 Hunter Street, Perth WA 6008",Unit 38/535 Hunter Street,Perth,6008,Australia,ok,Parsed into standard Australian address components.,True,unmapped_extra_components,"{""state"": ""Western Australia"", ""unit"": ""Unit 38""}",0.9,"Unit 38/535 Hunter Street, Perth WA 6008"
"275 Market Street, Melbourne VIC 3006, Australia",275 Market Street,Melbourne,3006,Australia,ok,Standard Australian address with clear components.,True,unmapped_extra_components,"{""state"": ""VIC""}",0.97,"275 Market Street, Melbourne VIC 3006, Australia"
627 Pitt Street Adelaide SA 5042,627 Pitt Street,Adelaide,5042,Australia,ok,"Parsed Australian address with clear street, city, state, and postcode.",True,unmapped_extra_components,"{""state"": ""SA""}",0.86,627 Pitt Street Adelaide SA 5042
"432 Hunter Street, Perth 6005 WA, Australia",432 Hunter Street,Perth,6005,Australia,ok,All core fields identified and formatted correctly.,True,unmapped_extra_components,"{""state"": ""WA""}",0.97,"432 Hunter Street, Perth 6005 WA, Australia"
253 George Street Perth WA 6000,253 George Street,Perth,6000,Australia,ok,"Parsed Australian address with clear city, state, and postal code.",True,unmapped_extra_components,"{""state"": ""WA""}",0.97,253 George Street Perth WA 6000
295 High Street Birmingham B4 7SL UK,295 High Street,Birmingham,B4 7SL,United Kingdom,ok,"Standard UK address with clear street, city, and postcode.",False,,,0.97,295 High Street Birmingham B4 7SL UK
"4359 Broadway, Dallas 75204, USA",4359 Broadway,Dallas,75204,United States,ok,"Parsed standard US address with ZIP matching Dallas, Texas.",True,unmapped_extra_components,"{""state"": ""Texas""}",0.96,"4359 Broadway, Dallas 75204, USA"
"7602 Lake Road, San Antonio, TX, 78202, United States",7602 Lake Road,San Antonio,78202,United States,ok,All core fields parsed unambiguously.,True,unmapped_extra_components,"{""state"": ""TX""}",0.99,"7602 Lake Road, San Antonio, TX, 78202, United States"
"Unit 65/959 Market Street, Melbourne VIC 3006",Unit 65/959 Market Street,Melbourne,3006,Australia,ok,"Standard Australian address with clear unit, street, city, state, and postcode.",True,unmapped_extra_components,"{""state"": ""VIC""}",0.94,"Unit 65/959 Market Street, Melbourne VIC 3006"
"9051 Hill Street, San Diego CA 92101",9051 Hill Street,San Diego,92101,United States,ok,"Standard US address parsed with clear city, state, and ZIP.",True,unmapped_extra_components,"{""state"": ""CA""}",0.96,"9051 Hill Street, San Diego CA 92101"
"133 Murray Street, 5042, Adelaide, SA",133 Murray Street,Adelaide,5042,Australia,ok,"Standard Australian address with clear street, city, state, and postcode.",True,unmapped_extra_components,"{""state"": ""SA""}",0.92,"133 Murray Street, 5042, Adelaide, SA"
"5785 Richmond Street, Vancouver, BC, V5L 1A9, Canada",5785 Richmond Street,Vancouver,V5L 1A9,Canada,ok,"Standard Canadian address parsed with city, province code, and postal code formatted.",True,unmapped_extra_components,"{""province"": ""BC""}",0.98,"5785 Richmond Street, Vancouver, BC, V5L 1A9, Canada"
147 Station Road Leeds LS3 1LF UK,147 Station Road,Leeds,LS3 1LF,United Kingdom,ok,All core fields identified unambiguously.,False,,,0.97,147 Station Road Leeds LS3 1LF UK
"892 Adelaide Street, Melbourne, VIC, 3004, Australia",892 Adelaide Street,Melbourne,3004,Australia,ok,Standard Australian address with clear components.,True,unmapped_extra_components,"{""state"": ""VIC""}",0.97,"892 Adelaide Street, Melbourne, VIC, 3004, Australia"
"910 University Avenue, Ottawa ON K1R 6B1",910 University Avenue,Ottawa,K1R 6B1,Canada,ok,"Parsed Canadian address with clear city, province, and postal code.",True,unmapped_extra_components,"{""province"": ""Ontario""}",0.96,"910 University Avenue, Ottawa ON K1R 6B1"
"2154 Market Street, Austin, TX, 78702, United States",2154 Market Street,Austin,78702,United States,ok,All components parsed unambiguously.,True,unmapped_extra_components,"{""state"": ""TX""}",0.98,"2154 Market Street, Austin, TX, 78702, United States"
"26 Maple Drive Apt 201, Chicago, IL 60611, USA",26 Maple Drive Apt 201,Chicago,60611,United States,ok,"Standard US address parsed with clear city, state, ZIP, and unit.",True,unmapped_extra_components,"{""state"": ""IL"", ""unit"": ""Apt 201""}",0.99,"26 Maple Drive Apt 201, Chicago, IL 60611, USA"
"100 Kings Street, Leeds, LS3 1LF, UK",100 Kings Street,Leeds,LS3 1LF,United Kingdom,ok,All core fields identified and formatted correctly.,False,,,0.97,"100 Kings Street, Leeds, LS3 1LF, UK"
"8912 Market Street, New York NY 10003",8912 Market Street,New York,10003,United States,ok,"Parsed US address with recognized city, state, and ZIP.",True,unmapped_extra_components,"{""state"": ""NY""}",0.97,"8912 Market Street, New York NY 10003"
"Main Street 8222, San Diego, CA 92102",8222 Main Street,San Diego,92102,United States,ok,"Parsed US address with clear street, city, state, and ZIP.",True,unmapped_extra_components,"{""state"": ""CA""}",0.96,"Main Street 8222, San Diego, CA 92102"
"577 Adelaide Street, 5006, Adelaide, SA",577 Adelaide Street,Adelaide,5006,Australia,ambiguous,Country not specified (inferred Australia) and postcode 5006 often maps to North Adelaide.,True,unmapped_extra_components,"{""state"": ""SA""}",0.74,"577 Adelaide Street, 5006, Adelaide, SA"
259 Murray Street Sydney NSW 2001,259 Murray Street,Sydney,2001,Australia,ok,"Standard Australian address parsed with clear city, state, and postcode.",True,unmapped_extra_components,"{""state"": ""NSW""}",0.96,259 Murray Street Sydney NSW 2001
"Kings Street 78, B5 4TD Birmingham, UK",78 Kings Street,Birmingham,B5 4TD,United Kingdom,ok,All core fields identified and formatted correctly.,False,,,0.9,"Kings Street 78, B5 4TD Birmingham, UK"
"6570 Church Street Apt 165, Austin, TX 78705, USA",6570 Church Street Apt 165,Austin,78705,United States,ok,Standard US address with clear components.,True,unmapped_extra_components,"{""state"": ""TX""}",0.99,"6570 Church Street Apt 165, Austin, TX 78705, USA"
"45 Queens Road, Manchester, M3 4FP, UK",45 Queens Road,Manchester,M3 4FP,United Kingdom,ok,All core fields present and consistent.,False,,,0.9,"45 Queens Road, Manchester, M3 4FP, UK"
"4318 Pine Street, Dallas, TX 75206, USA",4318 Pine Street,Dallas,75206,United States,ok,Parsed standard US address with clear components.,True,unmapped_extra_components,"{""state"": ""TX""}",0.99,"4318 Pine Street, Dallas, TX 75206, USA"
"960 William Street, Adelaide, SA, 5042, Australia",960 William Street,Adelaide,5042,Australia,ok,"Parsed standard Australian address with clear city, state, and postal code.",True,unmapped_extra_components,"{""state"": ""SA""}",0.94,"960 William Street, Adelaide, SA, 5042, Australia"
1875 King Street Vancouver BC V6Z 1Y6 Canada,1875 King Street,Vancouver,V6Z 1Y6,Canada,ok,Standard Canadian address with clear components.,True,unmapped_extra_components,"{""province"": ""BC""}",0.96,1875 King Street Vancouver BC V6Z 1Y6 Canada
"9995 Main Street, Calgary AB T2P 2M5",9995 Main Street,Calgary,T2P 2M5,Canada,ok,"Parsed Canadian address with city, province code, and formatted postal code.",True,unmapped_extra_components,"{""province"": ""AB""}",0.94,"9995 Main Street, Calgary AB T2P 2M5"
"University Avenue 9306, Montreal, H2Y 1C6, QC, Canada",9306 University Avenue,Montreal,H2Y 1C6,Canada,ok,Parsed Canadian address with clear province and postal code.,True,unmapped_extra_components,"{""province"": ""Quebec""}",0.95,"University Avenue 9306, Montreal, H2Y 1C6, QC, Canada"
"Unit 8/882 Pitt Street, Sydney NSW 2010",Unit 8/882 Pitt Street,Sydney,2010,Australia,ok,"Parsed Australian address with unit, city, state, and postal code clearly indicated.",True,unmapped_extra_components,"{""state"": ""NSW"", ""unit"": ""Unit 8""}",0.94,"Unit 8/882 Pitt Street, Sydney NSW 2010"
"Bourke Street 595, 2001 Sydney NSW Australia",595 Bourke Street,Sydney,2001,Australia,ok,"Standard Australian address with clear street number, city, state, and postcode.",True,unmapped_extra_components,"{""state"": ""NSW""}",0.94,"Bourke Street 595, 2001 Sydney NSW Australia"
"6588 Front Street, Calgary, AB T1Y 6B4, Canada",6588 Front Street,Calgary,T1Y 6B4,Canada,ok,Standard Canadian address with clear components.,True,unmapped_extra_components,"{""province"": ""AB""}",0.97,"6588 Front Street, Calgary, AB T1Y 6B4, Canada"
"98 Lonsdale Street, Adelaide, SA, 5042, Australia",98 Lonsdale Street,Adelaide,5042,Australia,ok,Parsed components align with standard Australian address format.,True,unmapped_extra_components,"{""state"": ""SA""}",0.92,"98 Lonsdale Street, Adelaide, SA, 5042, Australia"
